date,open,high,low,close,volume
2021-05-11,425.2,437.8,424.7,437.1,7090
2021-05-12,398.9,401.6,378.5,380.7,17820
2021-05-13,386.1,394.6,384.5,393.1,5830
2021-05-14,404.9,411.8,403.0,410.8,5980
2021-05-17,384.5,389.7,382.0,388.2,10930
2021-05-18,406.5,411.2,405.2,407.2,9240
2021-05-19,390.8,411.7,389.3,403.4,9300
2021-05-20,404.5,411.8,403.4,411.0,3070
2021-05-21,409.4,409.4,395.2,396.3,8820
2021-05-24,402.7,408.8,399.2,408.0,6750
2021-05-25,416.2,419.6,413.0,418.1,6710
2021-05-26,417.9,423.3,417.2,421.6,5880
2021-05-27,412.2,416.5,411.3,413.4,8630
2021-05-28,422.2,429.7,422.2,428.5,6320
2021-06-01,447.5,450.7,446.0,449.5,12660
2021-06-02,440.8,445.4,438.9,441.8,4360
2021-06-03,438.9,440.7,435.2,438.4,4920
2021-06-04,451.6,454.6,447.7,453.0,5800
2021-06-07,450.0,450.0,440.9,445.7,6670
2021-06-08,442.6,442.6,434.0,436.3,5650
2021-06-09,429.3,429.3,420.6,421.2,5710
2021-06-10,428.1,437.3,427.7,436.6,7170
2021-06-11,441.8,441.8,433.1,435.6,4620
2021-06-14,439.2,441.3,436.9,440.3,4120
2021-06-15,441.5,441.5,436.3,438.4,2630
2021-06-16,446.5,451.2,420.0,425.5,5960
2021-06-17,425.8,430.4,422.5,422.9,4310
2021-06-18,422.9,422.9,411.7,413.1,2510
2021-06-21,417.0,427.9,415.7,427.9,1540
2021-06-22,422.2,428.0,417.1,427.3,1450
2021-06-23,430.1,437.3,429.6,429.6,4950
2021-06-24,442.8,447.9,442.8,446.0,6230
2021-06-25,453.6,455.4,448.5,452.4,4690
2021-06-28,445.0,447.7,443.2,446.5,3310
2021-06-29,437.9,441.2,434.6,441.2,4140
2021-06-30,443.5,445.3,439.4,442.7,2880
2021-07-01,435.9,435.9,429.3,433.8,3580
2021-07-02,436.8,442.0,431.6,439.7,2250
2021-07-06,437.2,438.6,426.2,429.9,2290
2021-07-07,427.7,434.2,417.2,420.7,3730
2021-07-08,391.0,393.9,384.3,392.7,10710
2021-07-09,396.3,400.7,394.5,400.6,3750
2021-07-12,402.6,411.0,402.4,409.6,4170
2021-07-13,407.2,414.2,405.5,406.4,3240
2021-07-14,413.9,417.0,408.1,414.5,2040
2021-07-15,418.4,422.7,417.9,419.3,3980
2021-07-16,419.6,419.6,405.8,407.9,3510
2021-07-19,384.2,384.2,375.6,379.7,4660
2021-07-20,384.5,397.8,382.9,395.0,3210
2021-07-21,378.1,390.4,376.4,389.9,7520
2021-07-22,398.7,399.2,392.6,399.1,3340
2021-07-23,397.6,398.5,390.8,398.5,7710
2021-07-26,382.8,396.3,382.8,395.4,4910
2021-07-27,385.5,386.3,377.5,385.5,2530
2021-07-28,390.1,395.5,378.0,395.2,6150
2021-07-29,399.9,405.9,398.8,403.3,3860
2021-07-30,377.8,381.6,374.7,379.2,7240
2021-08-02,382.3,383.6,377.8,379.2,4770
2021-08-03,388.8,396.4,385.4,395.8,7380
2021-08-04,410.2,415.8,409.1,410.9,4920
2021-08-05,413.1,414.8,412.0,414.7,3470
2021-08-06,404.1,404.1,398.8,399.5,2110
2021-08-09,400.0,401.1,397.3,397.8,3390
2021-08-10,382.8,383.5,379.0,381.2,9660
2021-08-11,376.3,376.3,369.3,373.7,8310
2021-08-12,361.5,362.3,355.2,360.1,13140
2021-08-13,347.2,348.2,343.0,347.7,11160
2021-08-16,336.4,343.0,335.0,343.0,8860
2021-08-17,322.3,322.3,315.4,319.4,15770
2021-08-18,330.3,332.3,322.5,323.4,11420
2021-08-19,300.6,310.1,298.0,307.7,22910
2021-08-20,293.3,305.0,292.5,304.0,30630
2021-08-23,312.3,320.1,312.1,317.9,23580
2021-08-24,331.5,336.4,331.5,335.0,19130
2021-08-25,333.0,336.5,331.1,335.8,10790
2021-08-26,326.0,326.3,320.4,323.1,11860
