date,open,high,low,close,decision,executed,t_value,star_pct,unit_amount,shares,avg_cost,cost_basis,cash,total_value,return_pct
2021-05-11,425.2,437.8,424.7,437.1,V3,"avg_loc_buy,star_loc_buy",1.0,13.5,500000.0,1142,437.1,499168.2,9500756.92,9999925.12,-0.0007
2021-05-12,398.9,401.6,378.5,380.7,V3,"avg_loc_buy,star_loc_buy",2.0,12.0,500000.0,2454,406.9465,998646.6,9001203.6,9935441.4,-0.6456
2021-05-13,386.1,394.6,384.5,393.1,V3,"avg_loc_buy,star_loc_buy",3.0,10.5,500000.0,3724,402.2244,1497883.6,8501891.72,9965796.12,-0.342
2021-05-14,404.9,411.8,403.0,410.8,V3,star_loc_buy,3.5,9.75,500000.0,4332,403.428,1747650.0,8252087.85,10031673.45,0.3167
2021-05-17,384.5,389.7,382.0,388.2,V3,"avg_loc_buy,star_loc_buy",4.49,8.265,500000.0,5618,399.9422,2246875.2,7752787.77,9933695.37,-0.663
2021-05-18,406.5,411.2,405.2,407.2,V3,star_loc_buy,4.99,7.515,500000.0,6231,400.6562,2496488.8,7503136.73,10040399.93,0.404
2021-05-19,390.8,411.7,389.3,403.4,V3,star_loc_buy,5.49,6.765,500000.0,6850,400.9041,2746193.4,7253394.67,10016684.67,0.1668
2021-05-20,404.5,411.8,403.4,411.0,V3,star_loc_buy,5.99,6.015,500000.0,7458,401.7272,2996081.4,7003469.19,10068707.19,0.6871
2021-05-21,409.4,409.4,395.2,396.3,V3,"avg_loc_buy,star_loc_buy",6.99,4.515,500000.0,8718,400.9428,3495419.4,6504056.29,9958999.69,-0.41
2021-05-24,402.7,408.8,399.2,408.0,V3,star_loc_buy,7.49,3.765,500000.0,9330,401.4057,3745115.4,6254322.83,10060962.83,0.6096
2021-05-25,416.2,419.6,413.0,418.1,V3,quarter_loc_sell,5.61,6.585,500925.74,6998,401.4057,2809037.25,7227430.76,10153294.56,1.5329
2021-05-26,417.9,423.3,417.2,421.6,V3,star_loc_buy,6.11,5.835,500925.74,7591,402.9833,3059046.05,6977384.46,10177750.06,1.7775
2021-05-27,412.2,416.5,411.3,413.4,V3,star_loc_buy,6.61,5.085,500925.74,8196,403.7522,3309153.05,6727239.95,10115466.35,1.1547
2021-05-28,422.2,429.7,422.2,428.5,V3,quarter_loc_sell,4.94,7.59,502150.65,6147,403.7522,2481864.79,7603524.35,10237513.85,2.3751
