date,side,order_type,label,price,shares,realized_profit,avg_cost_after,cash_after,unit_amount_after
2021-05-11,BUY,LOC,avg_loc_buy,437.1,571,0.0,437.1,9750378.46,500000.0
2021-05-11,BUY,LOC,star_loc_buy,437.1,571,0.0,437.1,9500756.92,500000.0
2021-05-12,BUY,LOC,avg_loc_buy,380.7,656,0.0,416.5225,9250980.26,500000.0
2021-05-12,BUY,LOC,star_loc_buy,380.7,656,0.0,406.9465,9001203.6,500000.0
2021-05-13,BUY,LOC,avg_loc_buy,393.1,635,0.0,404.1001,8751547.66,500000.0
2021-05-13,BUY,LOC,star_loc_buy,393.1,635,0.0,402.2244,8501891.72,500000.0
2021-05-14,BUY,LOC,star_loc_buy,410.8,608,0.0,403.428,8252087.85,500000.0
2021-05-17,BUY,LOC,avg_loc_buy,388.2,643,0.0,401.4598,8002437.81,500000.0
2021-05-17,BUY,LOC,star_loc_buy,388.2,643,0.0,399.9422,7752787.77,500000.0
2021-05-18,BUY,LOC,star_loc_buy,407.2,613,0.0,400.6562,7503136.73,500000.0
2021-05-19,BUY,LOC,star_loc_buy,403.4,619,0.0,400.9041,7253394.67,500000.0
2021-05-20,BUY,LOC,star_loc_buy,411.0,608,0.0,401.7272,7003469.19,500000.0
2021-05-21,BUY,LOC,avg_loc_buy,396.3,630,0.0,401.3045,6753762.74,500000.0
2021-05-21,BUY,LOC,star_loc_buy,396.3,630,0.0,400.9428,6504056.29,500000.0
2021-05-24,BUY,LOC,star_loc_buy,408.0,612,0.0,401.4057,6254322.83,500000.0
2021-05-25,SELL,LOC,quarter_loc_sell,418.1,2332,37029.78,401.4057,7227430.76,500925.74
2021-05-26,BUY,LOC,star_loc_buy,421.6,593,0.0,402.9833,6977384.46,500925.74
2021-05-27,BUY,LOC,star_loc_buy,413.4,605,0.0,403.7522,6727239.95,500925.74
2021-05-28,SELL,LOC,quarter_loc_sell,428.5,2049,48996.14,403.7522,7603524.35,502150.65
2021-06-01,SELL,LOC,quarter_loc_sell,449.5,1536,68922.27,403.7522,8292610.01,503873.71
2021-06-02,BUY,LOC,star_loc_buy,441.8,570,0.0,407.9381,8040746.24,503873.71
2021-06-03,BUY,LOC,star_loc_buy,438.4,574,0.0,410.9764,7789066.89,503873.71
2021-06-04,SELL,LOC,quarter_loc_sell,453.0,1438,59159.72,410.9764,8439210.63,505352.7
2021-06-07,BUY,LOC,star_loc_buy,445.7,566,0.0,415.0013,8186906.59,505352.7
2021-06-08,BUY,LOC,star_loc_buy,436.3,579,0.0,417.259,7934251.0,505352.7
2021-06-09,BUY,LOC,star_loc_buy,421.2,599,0.0,417.6485,7681914.36,505352.7
2021-06-10,BUY,LOC,star_loc_buy,436.6,578,0.0,419.2985,7429521.7,505352.7
2021-06-11,BUY,LOC,star_loc_buy,435.6,579,0.0,420.6061,7177271.47,505352.7
2021-06-14,BUY,LOC,star_loc_buy,440.3,573,0.0,422.0545,6924941.73,505352.7
2021-06-15,BUY,LOC,star_loc_buy,438.4,576,0.0,423.1798,6672385.45,505352.7
2021-06-16,BUY,LOC,star_loc_buy,425.5,593,0.0,423.3333,6420026.1,505352.7
2021-06-17,BUY,LOC,avg_loc_buy,422.9,597,0.0,423.3063,6167516.93,505352.7
2021-06-17,BUY,LOC,star_loc_buy,422.9,597,0.0,423.2824,5915007.76,505352.7
2021-06-18,BUY,LOC,avg_loc_buy,413.1,611,0.0,422.7044,5662565.8,505352.7
2021-06-18,BUY,LOC,star_loc_buy,413.1,611,0.0,422.1886,5410123.84,505352.7
2021-06-21,SELL,LOC,quarter_loc_sell,427.9,2844,13870.18,422.1886,6624698.39,505699.45
2021-06-22,BUY,LOC,star_loc_buy,427.3,591,0.0,422.5197,6372126.21,505699.45
2021-06-23,BUY,LOC,star_loc_buy,429.6,588,0.0,422.9484,6119483.52,505699.45
2021-06-24,SELL,LOC,quarter_loc_sell,446.0,2427,53835.4,422.9484,7199814.76,507045.34
2021-06-25,SELL,LOC,quarter_loc_sell,452.4,1821,52024.86,422.9484,8022028.71,508345.96
2021-06-28,BUY,LOC,star_loc_buy,446.5,569,0.0,425.1701,7767932.1,508345.96
2021-06-29,BUY,LOC,star_loc_buy,441.2,576,0.0,426.5673,7513762.78,508345.96
2021-06-30,BUY,LOC,star_loc_buy,442.7,574,0.0,427.8567,7259614.86,508345.96
2021-07-01,BUY,LOC,star_loc_buy,433.8,585,0.0,428.3043,7005803.8,508345.96
2021-07-02,BUY,LOC,star_loc_buy,439.7,577,0.0,429.0924,6752058.84,508345.96
2021-07-06,BUY,LOC,star_loc_buy,429.9,591,0.0,429.1458,6497949.83,508345.96
2021-07-07,BUY,LOC,avg_loc_buy,420.7,604,0.0,428.611,6243808.92,508345.96
2021-07-07,BUY,LOC,star_loc_buy,420.7,604,0.0,428.1399,5989668.0,508345.96
2021-07-08,BUY,LOC,avg_loc_buy,392.7,647,0.0,426.0148,5735552.99,508345.96
2021-07-08,BUY,LOC,star_loc_buy,392.7,647,0.0,424.1302,5481437.98,508345.96
2021-07-09,BUY,LOC,avg_loc_buy,400.6,634,0.0,422.8943,5227419.48,508345.96
2021-07-09,BUY,LOC,star_loc_buy,400.6,634,0.0,421.7818,4973400.98,508345.96
2021-07-12,BUY,LOC,star_loc_buy,409.6,1240,0.0,420.6986,4465420.8,508345.96
2021-07-13,BUY,LOC,star_loc_buy,406.4,1250,0.0,419.5223,3957344.6,508345.96
2021-07-14,SELL,LOC,quarter_loc_sell,414.5,3798,-22144.63,419.5223,5528545.77,508345.96
2021-07-15,BUY,LOC,avg_loc_buy,419.3,606,0.0,419.5111,5274411.86,508345.96
2021-07-15,BUY,LOC,star_loc_buy,419.3,606,0.0,419.501,5020277.94,508345.96
2021-07-16,BUY,LOC,star_loc_buy,407.9,1246,0.0,418.4577,4511958.3,508345.96
2021-07-19,BUY,LOC,star_loc_buy,379.7,1338,0.0,415.0444,4003843.5,508345.96
2021-07-20,BUY,LOC,star_loc_buy,395.0,1286,0.0,413.4802,3495797.3,508345.96
2021-07-21,BUY,LOC,star_loc_buy,389.9,1303,0.0,411.7523,2987681.4,508345.96
2021-07-22,SELL,LOC,quarter_loc_sell,399.1,4445,-59698.74,411.7523,4758221.6,508345.96
2021-07-23,BUY,LOC,star_loc_buy,398.5,1275,0.0,410.5959,4250057.88,508345.96
2021-07-26,BUY,LOC,star_loc_buy,395.4,1285,0.0,409.3676,3741892.67,508345.96
2021-07-27,BUY,LOC,star_loc_buy,385.5,1318,0.0,407.5403,3233727.46,508345.96
2021-07-28,SELL,LOC,quarter_loc_sell,395.2,4303,-56416.27,407.5403,4930956.99,508345.96
2021-07-29,BUY,LOC,star_loc_buy,403.3,1260,0.0,407.1633,4422722.77,508345.96
2021-07-30,BUY,LOC,star_loc_buy,379.2,1340,0.0,404.7477,3914518.55,508345.96
2021-08-02,BUY,LOC,star_loc_buy,379.2,1340,0.0,402.7162,3406314.33,508345.96
2021-08-03,SELL,LOC,quarter_loc_sell,395.8,4213,-32389.74,402.7162,5070568.1,508345.96
2021-08-04,SELL,LOC,quarter_loc_sell,410.9,3159,23321.34,402.7162,6366070.03,508928.99
2021-08-05,BUY,LOC,star_loc_buy,414.7,613,0.0,403.4441,6111820.8,508928.99
2021-08-06,BUY,LOC,avg_loc_buy,399.5,636,0.0,403.2103,5857700.69,508928.99
2021-08-06,BUY,LOC,star_loc_buy,399.5,636,0.0,403.0026,5603580.58,508928.99
2021-08-09,BUY,LOC,avg_loc_buy,397.8,639,0.0,402.7257,5349348.25,508928.99
2021-08-09,BUY,LOC,star_loc_buy,397.8,639,0.0,402.4767,5095115.92,508928.99
2021-08-10,BUY,LOC,star_loc_buy,381.2,1334,0.0,400.446,4586518.84,508928.99
2021-08-11,BUY,LOC,star_loc_buy,373.7,1361,0.0,398.0728,4077836.85,508928.99
2021-08-12,BUY,LOC,star_loc_buy,360.1,1413,0.0,394.8696,3568939.23,508928.99
2021-08-13,BUY,LOC,star_loc_buy,347.7,1463,0.0,391.0808,3060177.82,508928.99
2021-08-16,BUY,LOC,star_loc_buy,343.0,1483,0.0,387.4608,2551432.52,508928.99
2021-08-17,BUY,LOC,star_loc_buy,319.4,1593,0.0,382.3682,2042552.0,508928.99
2021-08-18,BUY,LOC,star_loc_buy,323.4,1573,0.0,378.3111,1533767.5,508928.99
2021-08-19,BUY,LOC,star_loc_buy,307.7,1653,0.0,373.5502,1025063.1,508928.99
2021-08-20,BUY,LOC,star_loc_buy,304.0,1673,0.0,369.1072,516394.81,508928.99
2021-08-23,BUY,LOC,star_loc_buy,317.9,1600,0.0,366.1588,7678.52,508928.99
2021-08-24,SELL,MOC,quarter_moc_sell,335.0,6947,-220998.55,366.1588,2330385.39,508928.99
2021-08-25,SELL,LOC,quarter_loc_sell,335.8,5210,-161581.08,366.1588,4076491.83,508928.99
2021-08-26,SELL,LOC,quarter_loc_sell,323.1,3908,-170736.14,366.1588,5336704.41,508928.99
2021-08-27,SELL,LOC,quarter_loc_sell,337.3,2931,-86513.06,366.1588,6323402.89,508928.99
2021-08-27,BUY,LOC,avg_loc_buy,337.3,754,0.0,363.8796,6069040.54,508928.99
2021-08-30,SELL,LOC,quarter_loc_sell,328.8,2386,-85229.8,363.8796,6852027.53,508928.99
2021-08-30,BUY,LOC,avg_loc_buy,328.8,773,0.0,360.4619,6597827.01,508928.99
2021-08-31,BUY,LOC,avg_loc_buy,348.6,729,0.0,359.4637,6343659.49,508928.99
2021-08-31,BUY,LOC,star_loc_buy,348.6,729,0.0,358.6204,6089491.97,508928.99
2021-09-01,BUY,LOC,star_loc_buy,359.8,707,0.0,358.703,5835075.22,508928.99
2021-09-02,BUY,LOC,avg_loc_buy,347.3,732,0.0,357.9324,5580813.48,508928.99
2021-09-02,BUY,LOC,star_loc_buy,347.3,732,0.0,357.2593,5326551.75,508928.99
2021-09-03,BUY,LOC,star_loc_buy,360.4,705,0.0,357.4398,5072431.64,508928.99
2021-09-07,BUY,LOC,avg_loc_buy,344.9,737,0.0,356.7291,4818202.21,508928.99
2021-09-07,BUY,LOC,star_loc_buy,344.9,737,0.0,356.0947,4563972.78,508928.99
2021-09-08,BUY,LOC,avg_loc_buy,327.3,777,0.0,354.5537,4309622.53,508928.99
2021-09-08,BUY,LOC,star_loc_buy,327.3,777,0.0,353.1693,4055272.28,508928.99
2021-09-09,BUY,LOC,star_loc_buy,312.8,1626,0.0,349.2903,3546583.19,508928.99
2021-09-10,BUY,LOC,star_loc_buy,311.7,1632,0.0,345.9839,3037812.49,508928.99
2021-09-13,BUY,LOC,star_loc_buy,318.6,1597,0.0,343.8137,2528931.97,508928.99
2021-09-14,BUY,LOC,star_loc_buy,320.2,1589,0.0,342.0877,2020057.85,508928.99
2021-09-15,SELL,LOC,quarter_loc_sell,328.8,5435,-75703.46,342.0877,3803601.14,508928.99
