date,open,high,low,close,decision,executed,t_value,star_pct,unit_amount,shares,avg_cost,cost_basis,cash,total_value,return_pct
2021-05-11,29.02,32.31,28.69,32.11,V3,"avg_loc_buy,star_loc_buy",1.0,18.0,500000.0,15568,32.11,499888.48,9500036.54,9999925.02,-0.0007
2021-05-12,30.1,30.56,27.81,28.13,V3,"avg_loc_buy,star_loc_buy",2.0,16.0,500000.0,33338,29.9886,999758.58,9000091.46,9937889.4,-0.6211
2021-05-13,29.53,30.5,28.3,29.33,V3,"avg_loc_buy,star_loc_buy",3.0,14.0,500000.0,50382,29.7658,1499659.1,8500115.95,9977820.01,-0.2218
2021-05-14,30.49,32.68,29.58,31.93,V3,star_loc_buy,3.5,13.0,500000.0,58210,30.0568,1749607.14,8250130.42,10108775.72,1.0878
2021-05-17,30.98,31.1,29.43,31.1,V3,star_loc_buy,4.0,12.0,500000.0,66247,30.1834,1999557.84,8000142.23,10060423.93,0.6042
2021-05-18,31.71,32.08,30.22,30.29,V3,star_loc_buy,4.5,11.0,500000.0,74499,30.1952,2249510.92,7750151.65,10006726.36,0.0673
2021-05-19,28.46,32.17,28.22,32.05,V3,star_loc_buy,5.0,10.0,500000.0,82298,30.371,2499468.87,7500156.21,10137807.11,1.3781
2021-05-20,32.75,34.98,32.67,34.64,V3,quarter_loc_sell,3.73,12.54,502161.04,61724,30.371,1874616.84,8211449.84,10349569.2,3.4957
2021-05-21,35.3,35.34,33.81,34.14,V3,star_loc_buy,4.23,11.54,502161.04,69077,30.7722,2125648.26,7960380.76,10318669.54,3.1867
2021-05-24,35.0,37.14,34.91,36.53,V3,"quarter_loc_sell,target_sell",0.0,20.0,512498.46,0,0.0,0.0,10499525.77,10499525.77,4.9953
2021-05-25,37.33,37.75,36.24,36.94,V3,"avg_loc_buy,star_loc_buy",1.0,18.0,512498.46,13870,36.94,512357.8,9987091.11,10499448.91,4.9945
2021-05-26,37.03,37.68,36.19,37.18,V3,star_loc_buy,1.5,17.0,512498.46,20761,37.0197,768565.18,9730845.3,10502739.28,5.0274
2021-05-27,36.88,38.26,36.71,37.86,V3,star_loc_buy,2.0,16.0,512498.46,27528,37.2262,1024763.8,9474608.25,10516818.33,5.1682
2021-05-28,38.07,39.27,37.88,38.78,V3,star_loc_buy,2.5,15.0,512498.46,34134,37.5269,1280944.48,9218389.14,10542105.66,5.4211
2021-06-01,39.52,40.54,37.74,38.34,V3,star_loc_buy,3.0,14.0,512498.46,40816,37.66,1537132.36,8962162.84,10527048.28,5.2705
2021-06-02,38.27,39.58,37.91,39.19,V3,star_loc_buy,3.5,13.0,512498.46,47353,37.8713,1793317.39,8705939.38,10561703.45,5.617
2021-06-03,37.83,38.28,36.52,37.12,V3,"avg_loc_buy,star_loc_buy",4.5,11.0,512498.46,61157,37.7017,2305721.87,8193458.04,10463605.88,4.6361
2021-06-04,38.08,39.99,38.05,39.74,V3,star_loc_buy,5.0,10.0,512498.46,67604,37.8961,2561925.65,7937215.83,10623798.79,6.238
2021-06-07,39.26,39.44,38.15,38.91,V3,star_loc_buy,5.5,9.0,512498.46,74188,37.9861,2818109.09,7680993.96,10567649.04,5.6765
2021-06-08,39.8,39.97,37.3,38.17,V3,star_loc_buy,6.0,8.0,512498.46,80900,38.0013,3074306.13,7424758.49,10512711.49,5.1271
2021-06-09,38.56,38.89,37.62,37.7,V3,"avg_loc_buy,star_loc_buy",7.0,6.0,512498.46,94492,37.958,3586724.53,6912263.23,10474611.63,4.7461
2021-06-10,37.8,39.37,37.52,39.04,V3,star_loc_buy,7.5,5.0,512498.46,101054,38.0282,3842905.01,6656044.32,10601192.48,6.0119
