date,side,order_type,label,price,shares,realized_profit,avg_cost_after,cash_after,unit_amount_after
2021-05-11,BUY,LOC,avg_loc_buy,32.11,7784,0.0,32.11,9750018.27,500000.0
2021-05-11,BUY,LOC,star_loc_buy,32.11,7784,0.0,32.11,9500036.54,500000.0
2021-05-12,BUY,LOC,avg_loc_buy,28.13,8885,0.0,30.6639,9250064.0,500000.0
2021-05-12,BUY,LOC,star_loc_buy,28.13,8885,0.0,29.9886,9000091.46,500000.0
2021-05-13,BUY,LOC,avg_loc_buy,29.33,8522,0.0,29.8545,8750103.7,500000.0
2021-05-13,BUY,LOC,star_loc_buy,29.33,8522,0.0,29.7658,8500115.95,500000.0
2021-05-14,BUY,LOC,star_loc_buy,31.93,7828,0.0,30.0568,8250130.42,500000.0
2021-05-17,BUY,LOC,star_loc_buy,31.1,8037,0.0,30.1834,8000142.23,500000.0
2021-05-18,BUY,LOC,star_loc_buy,30.29,8252,0.0,30.1952,7750151.65,500000.0
2021-05-19,BUY,LOC,star_loc_buy,32.05,7799,0.0,30.371,7500156.21,500000.0
2021-05-20,SELL,LOC,quarter_loc_sell,34.64,20574,86441.6,30.371,8211449.84,502161.04
2021-05-21,BUY,LOC,star_loc_buy,34.14,7353,0.0,30.7722,7960380.76,502161.04
2021-05-24,SELL,LOC,quarter_loc_sell,36.53,17269,98202.07,30.7722,8589987.2,504616.09
2021-05-24,SELL,LIMIT,target_sell,36.93,51808,315294.68,0.0,10499525.77,512498.46
2021-05-25,BUY,LOC,avg_loc_buy,36.94,6935,0.0,36.94,10243308.44,512498.46
2021-05-25,BUY,LOC,star_loc_buy,36.94,6935,0.0,36.94,9987091.11,512498.46
2021-05-26,BUY,LOC,star_loc_buy,37.18,6891,0.0,37.0197,9730845.3,512498.46
2021-05-27,BUY,LOC,star_loc_buy,37.86,6767,0.0,37.2262,9474608.25,512498.46
2021-05-28,BUY,LOC,star_loc_buy,38.78,6606,0.0,37.5269,9218389.14,512498.46
2021-06-01,BUY,LOC,star_loc_buy,38.34,6682,0.0,37.66,8962162.84,512498.46
2021-06-02,BUY,LOC,star_loc_buy,39.19,6537,0.0,37.8713,8705939.38,512498.46
2021-06-03,BUY,LOC,avg_loc_buy,37.12,6902,0.0,37.7757,8449698.71,512498.46
2021-06-03,BUY,LOC,star_loc_buy,37.12,6902,0.0,37.7017,8193458.04,512498.46
